================================================================
  ANÁLISIS LÉXICO — Dart Analyzer
  Desarrollador : GUI-jairordtgz
  Algoritmo     : editor.dart
  Fecha/Hora    : 10/07/2026 10:48:59
================================================================

TOKENS RECONOCIDOS (355):
Línea   Tipo                    Valor
49      IDENTIFICADOR           mensaje
49      ASIGNACION              =
49      CADENA                  Prueba completada
49      PUNTO_COMA              ;
50      PRINT                   print
50      PAREN_IZQ               (
50      IDENTIFICADOR           mensaje
50      PAREN_DER               )
50      PUNTO_COMA              ;
52      FOR                     for
52      PAREN_IZQ               (
52      INT                     int
52      IDENTIFICADOR           i
52      ASIGNACION              =
52      ENTERO                  0
52      PUNTO_COMA              ;
52      IDENTIFICADOR           i
52      MENOR                   <
52      ENTERO                  3
52      PUNTO_COMA              ;
52      IDENTIFICADOR           i
52      MAS_IGUAL               +=
52      ENTERO                  1
52      PAREN_DER               )
52      LLAVE_IZQ               {
53      PRINT                   print
53      PAREN_IZQ               (
53      IDENTIFICADOR           i
53      PAREN_DER               )
53      PUNTO_COMA              ;
54      LLAVE_DER               }
56      LIST_TYPE               List
56      MENOR                   <
56      INT                     int
56      MAYOR                   >
56      IDENTIFICADOR           numeros
56      ASIGNACION              =
56      CORCHETE_IZQ            [
56      ENTERO                  10
56      COMA                    ,
56      ENTERO                  20
56      COMA                    ,
56      ENTERO                  30
56      CORCHETE_DER            ]
56      PUNTO_COMA              ;
57      IDENTIFICADOR           numeros
57      PUNTO                   .
57      IDENTIFICADOR           add
57      PAREN_IZQ               (
57      ENTERO                  40
57      PAREN_DER               )
57      PUNTO_COMA              ;
58      PRINT                   print
58      PAREN_IZQ               (
58      IDENTIFICADOR           numeros
58      CORCHETE_IZQ            [
58      ENTERO                  0
58      CORCHETE_DER            ]
58      PAREN_DER               )
58      PUNTO_COMA              ;
60      FOR                     for
60      PAREN_IZQ               (
60      VAR                     var
60      IDENTIFICADOR           n
60      IN                      in
60      IDENTIFICADOR           numeros
60      PAREN_DER               )
60      LLAVE_IZQ               {
61      PRINT                   print
61      PAREN_IZQ               (
61      IDENTIFICADOR           n
61      PAREN_DER               )
61      PUNTO_COMA              ;
62      LLAVE_DER               }
64      LIST_TYPE               List
64      MENOR                   <
64      STRING_TYPE             String
64      MAYOR                   >
64      IDENTIFICADOR           nombres
64      ASIGNACION              =
64      CORCHETE_IZQ            [
64      CADENA                  Jairo
64      COMA                    ,
64      CADENA                  Dylan
64      COMA                    ,
64      CADENA                  Ellen
64      CORCHETE_DER            ]
64      PUNTO_COMA              ;
65      FOR                     for
65      PAREN_IZQ               (
65      VAR                     var
65      IDENTIFICADOR           nom
65      IN                      in
65      IDENTIFICADOR           nombres
65      PAREN_DER               )
65      LLAVE_IZQ               {
66      PRINT                   print
66      PAREN_IZQ               (
66      IDENTIFICADOR           nom
66      PAREN_DER               )
66      PUNTO_COMA              ;
67      LLAVE_DER               }
69      STRING_TYPE             String
69      INTERROGACION           ?
69      IDENTIFICADOR           entrada
69      ASIGNACION              =
69      IDENTIFICADOR           stdin
69      PUNTO                   .
69      IDENTIFICADOR           readLineSync
69      PAREN_IZQ               (
69      PAREN_DER               )
69      PUNTO_COMA              ;
70      PRINT                   print
70      PAREN_IZQ               (
70      IDENTIFICADOR           entrada
70      PAREN_DER               )
70      PUNTO_COMA              ;
71      LLAVE_DER               }
73      INT                     int
73      IDENTIFICADOR           edadInvalida
73      ASIGNACION              =
73      CADENA                  veinticinco
73      PUNTO_COMA              ;
75      INT                     int
75      IDENTIFICADOR           calcularMal
75      PAREN_IZQ               (
75      INT                     int
75      IDENTIFICADOR           a
75      COMA                    ,
75      INT                     int
75      IDENTIFICADOR           b
75      PAREN_DER               )
75      LLAVE_IZQ               {
76      RETURN                  return
76      FLOTANTE                3.5
76      PUNTO_COMA              ;
77      LLAVE_DER               }

ERRORES: Ninguno

================================================================
